control,T,sigmaloc,L,recall
diffuse,6,0.16671,75,94.007
diffuse,6,0.16671,150,99.697
diffuse,6,0.16671,300,99.969
diffuse,6,0.16671,600,99.994
diffuse,6,0.16671,1000,99.997
diffuse,24,0.04166,75,31.214
diffuse,24,0.04166,150,61.061
diffuse,24,0.04166,300,94.664
diffuse,24,0.04166,600,99.961
diffuse,24,0.04166,1000,99.991
diffuse,96,0.01044,75,7.798
diffuse,96,0.01044,150,15.659
diffuse,96,0.01044,300,31.271
diffuse,96,0.01044,600,61.425
diffuse,96,0.01044,1000,88.861
